Class,Day,Slot,Start_Time,End_Time
Class A,Monday,Slot 1,09:00,10:00
Class A,Monday,Slot 2,10:15,11:15
Class A,Monday,Slot 3,11:30,12:30
Class A,Monday,Slot 4,13:30,14:30
Class A,Monday,Slot 5,14:45,15:45
Class A,Tuesday,Slot 1,09:00,10:00
Class A,Tuesday,Slot 2,10:15,11:15
Class A,Tuesday,Slot 3,11:30,12:30
Class A,Tuesday,Slot 4,13:30,20:30
Class A,Wednesday,Slot 1,09:00,10:14
Class A,Wednesday,Slot 2,10:15,11:15
Class A,Wednesday,Slot 3,11:30,12:30
Class A,Wednesday,Slot 4,13:30,14:30
Class A,Wednesday,Slot 5,14:45,15:45
Class A,Wednesday,Slot 6,16:00,17:00
Class A,Thursday,Slot 1,09:00,10:00
Class A,Thursday,Slot 2,10:15,11:15
Class A,Thursday,Slot 3,11:30,12:30
Class A,Thursday,Slot 4,13:30,14:30
Class A,Friday,Slot 1,09:00,10:00
Class A,Friday,Slot 2,10:15,11:15
Class A,Saturday,Slot 3,11:30,12:30
Class A,Saturday,Slot 4,13:30,14:30
Class A,Saturday,Slot 5,21:00,23:45
Class B,Monday,Slot 1,08:30,09:30
Class B,Monday,Slot 2,09:45,10:45
Class B,Monday,Slot 3,11:00,12:00
Class B,Monday,Slot 4,13:00,14:00
Class B,Monday,Slot 5,14:15,15:15
Class B,Tuesday,Slot 1,08:30,09:30
Class B,Tuesday,Slot 2,09:45,10:45
Class B,Tuesday,Slot 3,11:00,12:00
Class B,Tuesday,Slot 4,13:00,14:00
Class B,Tuesday,Slot 5,14:15,15:15
Class B,Tuesday,Slot 6,15:30,16:30
Class B,Wednesday,Slot 1,08:30,09:30
Class B,Wednesday,Slot 2,09:45,10:45
Class B,Wednesday,Slot 3,11:00,12:00
Class B,Wednesday,Slot 4,13:00,14:00
Class B,Thursday,Slot 1,08:30,09:30
Class B,Thursday,Slot 2,09:45,10:45
Class B,Thursday,Slot 3,11:00,12:00
Class B,Thursday,Slot 4,13:00,14:00
Class B,Thursday,Slot 5,14:15,15:15
Class B,Friday,Slot 1,08:30,09:30
Class B,Friday,Slot 2,09:45,10:45
Class B,Friday,Slot 3,11:00,12:00
Class B,Friday,Slot 4,13:00,14:00
Class B,Friday,Slot 5,14:15,15:15
Class B,Friday,Slot 6,15:30,16:30
Class C,Monday,Slot 1,08:30,09:30
Class C,Monday,Slot 2,09:45,10:45
Class C,Monday,Slot 3,11:00,12:00
Class C,Monday,Slot 4,13:00,14:00
Class C,Monday,Slot 5,14:15,15:15
Class C,Tuesday,Slot 1,08:30,09:30
Class C,Tuesday,Slot 2,09:45,10:45
Class C,Tuesday,Slot 3,11:00,12:00
Class C,Tuesday,Slot 4,13:00,14:00
Class C,Tuesday,Slot 5,14:15,15:15
Class C,Tuesday,Slot 6,15:30,16:30
Class C,Wednesday,Slot 1,08:30,09:30
Class C,Wednesday,Slot 2,09:45,10:45
Class C,Wednesday,Slot 3,11:00,12:00
Class C,Wednesday,Slot 4,13:00,14:00
Class C,Thursday,Slot 1,08:30,09:30
Class C,Thursday,Slot 2,09:45,10:45
Class C,Thursday,Slot 3,11:00,12:00
Class C,Thursday,Slot 4,13:00,14:00
Class C,Thursday,Slot 5,14:15,15:15
Class C,Friday,Slot 1,08:30,09:30
Class C,Friday,Slot 2,09:45,10:45
Class C,Friday,Slot 3,11:00,12:00
Class C,Friday,Slot 4,13:00,14:00
Class C,Friday,Slot 5,14:15,15:15
Class C,Friday,Slot 6,15:30,16:30
Class D,Monday,Slot 1,08:30,09:30
Class D,Monday,Slot 2,09:45,10:45
Class D,Monday,Slot 3,11:00,12:00
Class D,Monday,Slot 4,13:00,14:00
Class D,Monday,Slot 5,14:15,15:15
Class D,Tuesday,Slot 1,08:30,09:30
Class D,Tuesday,Slot 2,09:45,10:45
Class D,Tuesday,Slot 3,11:00,12:00
Class D,Tuesday,Slot 4,13:00,14:00
Class D,Tuesday,Slot 5,14:15,15:15
Class D,Tuesday,Slot 6,15:30,16:30
Class D,Wednesday,Slot 1,08:30,09:30
Class D,Wednesday,Slot 2,09:45,10:45
Class D,Wednesday,Slot 3,11:00,12:00
Class D,Wednesday,Slot 4,13:00,14:00
Class D,Thursday,Slot 1,08:30,09:30
Class D,Thursday,Slot 2,09:45,10:45
Class D,Thursday,Slot 3,11:00,12:00
Class D,Thursday,Slot 4,13:00,14:00
Class D,Thursday,Slot 5,14:15,15:15
Class D,Friday,Slot 1,08:30,09:30
Class D,Friday,Slot 2,09:45,10:45
Class D,Friday,Slot 3,11:00,12:00
Class D,Friday,Slot 4,13:00,14:00
Class D,Friday,Slot 5,14:15,15:15
Class D,Friday,Slot 6,15:30,16:30
Class E,Monday,Slot 1,10:15,11:15
Class E,Monday,Slot 2,11:35,12:35
Class E,Monday,Slot 3,12:50,14:05
Class E,Monday,Slot 4,14:25,15:25
Class E,Monday,Slot 5,15:40,16:40
Class E,Monday,Slot 6,17:00,18:15
Class E,Tuesday,Slot 1,10:15,11:30
Class E,Tuesday,Slot 2,11:50,13:05
Class E,Tuesday,Slot 3,13:35,14:50
Class E,Tuesday,Slot 4,15:05,16:05
Class E,Wednesday,Slot 1,10:15,11:30
Class E,Wednesday,Slot 2,11:45,12:45
Class E,Wednesday,Slot 3,13:00,14:00
Class E,Wednesday,Slot 4,14:20,15:35
Class E,Wednesday,Slot 5,16:05,17:20
Class E,Wednesday,Slot 6,17:40,18:55
Class E,Thursday,Slot 1,10:15,11:15
Class E,Thursday,Slot 2,11:45,13:00
Class E,Thursday,Slot 3,13:15,14:30
Class E,Thursday,Slot 4,14:50,15:50
Class E,Thursday,Slot 5,16:05,17:20
Class E,Friday,Slot 1,10:15,11:15
Class E,Friday,Slot 2,11:30,12:30
Class E,Friday,Slot 3,12:45,13:45
Class E,Friday,Slot 4,14:00,15:15
Class E,Friday,Slot 5,15:45,16:45
Class F,Monday,Slot 1,08:45,09:45
Class F,Monday,Slot 2,10:15,11:15
Class F,Monday,Slot 3,11:35,12:35
Class F,Monday,Slot 4,12:50,14:05
Class F,Tuesday,Slot 1,08:45,10:00
Class F,Tuesday,Slot 2,10:30,11:45
Class F,Tuesday,Slot 3,12:00,13:15
Class F,Tuesday,Slot 4,13:30,14:30
Class F,Tuesday,Slot 5,15:00,16:00
Class F,Wednesday,Slot 1,08:45,09:45
Class F,Wednesday,Slot 2,10:15,11:15
Class F,Wednesday,Slot 3,11:30,12:30
Class F,Wednesday,Slot 4,13:00,14:15
Class F,Thursday,Slot 1,08:45,09:45
Class F,Thursday,Slot 2,10:00,11:15
Class F,Thursday,Slot 3,11:30,12:30
Class F,Thursday,Slot 4,12:50,14:05
Class F,Thursday,Slot 5,14:35,15:50
Class F,Friday,Slot 1,08:45,09:45
Class F,Friday,Slot 2,10:00,11:00
Class F,Friday,Slot 3,11:20,12:20
Class F,Friday,Slot 4,12:40,13:40
Class F,Friday,Slot 5,14:00,15:15
Class F,Friday,Slot 6,15:35,16:35
Class G,Monday,Slot 1,10:00,11:15
Class G,Monday,Slot 2,11:30,12:45
Class G,Monday,Slot 3,13:00,14:00
Class G,Monday,Slot 4,14:20,15:35
Class G,Tuesday,Slot 1,10:00,11:15
Class G,Tuesday,Slot 2,11:35,12:35
Class G,Tuesday,Slot 3,12:50,13:50
Class G,Tuesday,Slot 4,14:10,15:10
Class G,Tuesday,Slot 5,15:40,16:40
Class G,Tuesday,Slot 6,17:10,18:25
Class G,Wednesday,Slot 1,10:00,11:15
Class G,Wednesday,Slot 2,11:35,12:50
Class G,Wednesday,Slot 3,13:20,14:35
Class G,Wednesday,Slot 4,14:55,15:55
Class G,Thursday,Slot 1,10:00,11:15
Class G,Thursday,Slot 2,11:30,12:45
Class G,Thursday,Slot 3,13:00,14:00
Class G,Thursday,Slot 4,14:30,15:45
Class G,Friday,Slot 1,10:00,11:15
Class G,Friday,Slot 2,11:30,12:45
Class G,Friday,Slot 3,13:05,14:05
Class G,Friday,Slot 4,14:20,15:35
Class G,Friday,Slot 5,15:50,16:50
Class G,Friday,Slot 6,17:20,18:20
Class H,Monday,Slot 1,09:30,10:30
Class H,Monday,Slot 2,10:45,12:00
Class H,Monday,Slot 3,12:15,13:15
Class H,Monday,Slot 4,13:30,14:30
Class H,Monday,Slot 5,14:50,16:05
Class H,Tuesday,Slot 1,09:30,10:45
Class H,Tuesday,Slot 2,11:00,12:00
Class H,Tuesday,Slot 3,12:20,13:35
Class H,Tuesday,Slot 4,13:55,15:10
Class H,Wednesday,Slot 1,09:30,10:45
Class H,Wednesday,Slot 2,11:15,12:30
Class H,Wednesday,Slot 3,12:50,13:50
Class H,Wednesday,Slot 4,14:10,15:10
Class H,Wednesday,Slot 5,15:40,16:55
Class H,Thursday,Slot 1,09:30,10:30
Class H,Thursday,Slot 2,10:50,12:05
Class H,Thursday,Slot 3,12:20,13:20
Class H,Thursday,Slot 4,13:40,14:55
Class H,Thursday,Slot 5,15:15,16:15
Class H,Thursday,Slot 6,16:35,17:35
Class H,Friday,Slot 1,09:30,10:45
Class H,Friday,Slot 2,11:00,12:00
Class H,Friday,Slot 3,12:20,13:35
Class H,Friday,Slot 4,14:05,15:20
Class H,Friday,Slot 5,15:50,17:05
Class I,Monday,Slot 1,09:00,10:00
Class I,Monday,Slot 2,10:15,11:15
Class I,Monday,Slot 3,11:45,12:45
Class I,Monday,Slot 4,13:15,14:30
Class I,Monday,Slot 5,14:45,16:00
Class I,Monday,Slot 6,16:20,17:20
Class I,Tuesday,Slot 1,09:00,10:15
Class I,Tuesday,Slot 2,10:30,11:30
Class I,Tuesday,Slot 3,12:00,13:00
Class I,Tuesday,Slot 4,13:30,14:45
Class I,Tuesday,Slot 5,15:00,16:00
Class I,Wednesday,Slot 1,09:00,10:15
Class I,Wednesday,Slot 2,10:35,11:50
Class I,Wednesday,Slot 3,12:05,13:05
Class I,Wednesday,Slot 4,13:25,14:25
Class I,Thursday,Slot 1,09:00,10:00
Class I,Thursday,Slot 2,10:20,11:20
Class I,Thursday,Slot 3,11:35,12:35
Class I,Thursday,Slot 4,12:50,14:05
Class I,Thursday,Slot 5,14:35,15:35
Class I,Friday,Slot 1,09:00,10:00
Class I,Friday,Slot 2,10:20,11:20
Class I,Friday,Slot 3,11:40,12:40
Class I,Friday,Slot 4,13:10,14:10
Class I,Friday,Slot 5,14:40,15:40
Class J,Monday,Slot 1,10:30,11:30
Class J,Monday,Slot 2,12:00,13:15
Class J,Monday,Slot 3,13:35,14:50
Class J,Monday,Slot 4,15:20,16:35
Class J,Tuesday,Slot 1,10:30,11:45
Class J,Tuesday,Slot 2,12:00,13:15
Class J,Tuesday,Slot 3,13:35,14:35
Class J,Tuesday,Slot 4,15:05,16:05
Class J,Tuesday,Slot 5,16:20,17:35
Class J,Wednesday,Slot 1,10:30,11:45
Class J,Wednesday,Slot 2,12:05,13:05
Class J,Wednesday,Slot 3,13:25,14:40
Class J,Wednesday,Slot 4,15:10,16:25
Class J,Wednesday,Slot 5,16:45,17:45
Class J,Thursday,Slot 1,10:30,11:45
Class J,Thursday,Slot 2,12:00,13:00
Class J,Thursday,Slot 3,13:30,14:45
Class J,Thursday,Slot 4,15:05,16:05
Class J,Friday,Slot 1,10:30,11:45
Class J,Friday,Slot 2,12:15,13:15
Class J,Friday,Slot 3,13:30,14:30
Class J,Friday,Slot 4,14:50,15:50
Class J,Friday,Slot 5,16:20,17:20
Class J,Friday,Slot 6,17:40,18:40
